rollNo,name,cgpa,quizMarks,location
b190103cs,Charles,6.500000,95.000000,Mizoram
b190105cs,Frank,6.170000,87.000000,Gujarat
b190114cs,Fred,7.430000,91.000000,Tamilnadu
b190116cs,Samuel,6.680000,95.000000,Mizoram
b190118cs,Louis,9.010000,92.000000,Telangana
b190119cs,Joe,9.310000,98.000000,Mizoram
b190121cs,Clarence,6.280000,96.000000,Gujarat
b190124cs,Daniel,8.640000,95.000000,Gujarat
b190125cs,Ernest,8.310000,91.000000,Kerala
b190127cs,Jesse,9.690000,87.000000,Telangana
b190129cs,Lewis,8.410000,99.000000,Mizoram
b190131cs,Benjamin,9.500000,97.000000,Tamilnadu
b190132cs,Frederick,6.220000,87.000000,Kerala
b190134cs,Alfred,9.080000,89.000000,Gujarat
b190135cs,Sam,9.790000,100.000000,Mizoram
b190141cs,Carl,6.180000,99.000000,Kerala
b190142cs,Lee,6.320000,86.000000,Kerala
b190143cs,Howard,8.710000,97.000000,Tamilnadu
b190145cs,Michael,7.980000,93.000000,Kerala
b190147cs,Herman,7.260000,90.000000,Mizoram
b190150cs,Harvey,9.200000,92.000000,Mizoram
b190153cs,Ralph,7.780000,86.000000,Gujarat
b190154cs,Ed,7.410000,96.000000,Telangana
b190156cs,Edwin,6.670000,86.000000,Telangana
b190159cs,Paul,8.810000,90.000000,Kerala
b190162cs,Otto,6.510000,95.000000,Tamilnadu
b190163cs,Luther,8.620000,100.000000,Mizoram
b190164cs,Lawrence,8.980000,98.000000,Gujarat
b190167cs,Guy,7.490000,98.000000,Kerala
b190171cs,Clyde,7.570000,90.000000,Telangana
b190173cs,August,6.460000,86.000000,Tamilnadu
b190174cs,Floyd,8.430000,96.000000,Tamilnadu
b190176cs,Jack,7.480000,95.000000,Gujarat
b190180cs,Philip,8.390000,95.000000,Gujarat
b190181cs,Allen,6.230000,87.000000,Mizoram
b190182cs,Archie,9.620000,99.000000,Mizoram
b190185cs,Willis,6.970000,100.000000,Telangana
b190186cs,Raymond,9.320000,96.000000,Gujarat
b190187cs,Rufus,8.000000,90.000000,Mizoram
b190188cs,Warren,7.300000,90.000000,Gujarat
b190193cs,Julius,6.880000,92.000000,Kerala
b190195cs,Sidney,7.810000,99.000000,Mizoram
b190196cs,Bernard,9.680000,93.000000,Tamilnadu
b190197cs,Dan,9.380000,95.000000,Mizoram
b190200cs,Perry,6.710000,89.000000,Kerala
b190201cs,Dave,8.750000,91.000000,Kerala
b190203cs,Eddie,7.130000,100.000000,Telangana
b190205cs,Dennis,6.930000,92.000000,Gujarat
b190209cs,Alonzo,8.790000,98.000000,Kerala
b190210cs,Garfield,7.220000,99.000000,Mizoram
b190216cs,Matthew,6.240000,95.000000,Mizoram
b190218cs,Moses,9.140000,89.000000,Telangana
b190219cs,Everett,9.140000,90.000000,Kerala
b190220cs,Lester,7.630000,87.000000,Telangana
b190223cs,Lloyd,8.100000,90.000000,Mizoram
b190225cs,Fredrick,8.920000,88.000000,Telangana
b190226cs,Jay,9.590000,93.000000,Mizoram
b190230cs,Aaron,8.300000,99.000000,Kerala
b190231cs,Alvin,8.580000,98.000000,Kerala
b190233cs,Gilbert,6.720000,100.000000,Gujarat
b190236cs,Gus,9.690000,95.000000,Mizoram
b190237cs,Nelson,8.870000,89.000000,Mizoram
b190241cs,Jake,8.030000,88.000000,Tamilnadu
b190244cs,Adolph,8.090000,100.000000,Tamilnadu
b190245cs,Maurice,9.510000,97.000000,Kerala
b190246cs,Cornelius,7.900000,89.000000,Mizoram
b190247cs,Felix,6.610000,88.000000,Kerala
b190249cs,Wallace,6.820000,92.000000,Tamilnadu
b190250cs,Claud,8.070000,86.000000,Gujarat
b190254cs,Hiram,8.980000,87.000000,Gujarat
b190255cs,Otis,7.150000,86.000000,Mizoram
b190260cs,Jose,9.170000,90.000000,Tamilnadu
b190263cs,Virgil,7.550000,100.000000,Telangana
b190264cs,Clinton,6.260000,99.000000,Tamilnadu
b190266cs,Leslie,6.530000,93.000000,Kerala
b190270cs,Anton,6.390000,86.000000,Gujarat
b190272cs,Manuel,9.510000,96.000000,Gujarat
b190273cs,Phillip,9.940000,99.000000,Kerala
b190274cs,Augustus,9.220000,99.000000,Gujarat
b190275cs,Emmett,8.710000,91.000000,Gujarat
b190278cs,Wilson,9.490000,91.000000,Tamilnadu
b190283cs,Marvin,6.830000,88.000000,Gujarat
b190285cs,Curtis,8.920000,94.000000,Telangana
b190293cs,Ora,7.940000,95.000000,Telangana
b190294cs,Ollie,7.900000,87.000000,Mizoram
b190295cs,Russell,8.180000,88.000000,Kerala
