rollNo,name,cgpa,quizMarks,location
b190118cs,Louis,9.010000,92.000000,Telangana
b190119cs,Joe,9.310000,98.000000,Mizoram
b190124cs,Daniel,8.640000,95.000000,Gujarat
b190125cs,Ernest,8.310000,91.000000,Kerala
b190127cs,Jesse,9.690000,87.000000,Telangana
b190129cs,Lewis,8.410000,99.000000,Mizoram
b190131cs,Benjamin,9.500000,97.000000,Tamilnadu
b190134cs,Alfred,9.080000,89.000000,Gujarat
b190135cs,Sam,9.790000,100.000000,Mizoram
b190143cs,Howard,8.710000,97.000000,Tamilnadu
b190150cs,Harvey,9.200000,92.000000,Mizoram
b190159cs,Paul,8.810000,90.000000,Kerala
b190163cs,Luther,8.620000,100.000000,Mizoram
b190164cs,Lawrence,8.980000,98.000000,Gujarat
b190174cs,Floyd,8.430000,96.000000,Tamilnadu
b190180cs,Philip,8.390000,95.000000,Gujarat
b190182cs,Archie,9.620000,99.000000,Mizoram
b190186cs,Raymond,9.320000,96.000000,Gujarat
b190196cs,Bernard,9.680000,93.000000,Tamilnadu
b190197cs,Dan,9.380000,95.000000,Mizoram
b190201cs,Dave,8.750000,91.000000,Kerala
b190209cs,Alonzo,8.790000,98.000000,Kerala
b190218cs,Moses,9.140000,89.000000,Telangana
b190219cs,Everett,9.140000,90.000000,Kerala
b190223cs,Lloyd,8.100000,90.000000,Mizoram
b190225cs,Fredrick,8.920000,88.000000,Telangana
b190226cs,Jay,9.590000,93.000000,Mizoram
b190230cs,Aaron,8.300000,99.000000,Kerala
b190231cs,Alvin,8.580000,98.000000,Kerala
b190236cs,Gus,9.690000,95.000000,Mizoram
b190237cs,Nelson,8.870000,89.000000,Mizoram
b190241cs,Jake,8.030000,88.000000,Tamilnadu
b190244cs,Adolph,8.090000,100.000000,Tamilnadu
b190245cs,Maurice,9.510000,97.000000,Kerala
b190250cs,Claud,8.070000,86.000000,Gujarat
b190254cs,Hiram,8.980000,87.000000,Gujarat
b190260cs,Jose,9.170000,90.000000,Tamilnadu
b190272cs,Manuel,9.510000,96.000000,Gujarat
b190273cs,Phillip,9.940000,99.000000,Kerala
b190274cs,Augustus,9.220000,99.000000,Gujarat
b190275cs,Emmett,8.710000,91.000000,Gujarat
b190278cs,Wilson,9.490000,91.000000,Tamilnadu
b190285cs,Curtis,8.920000,94.000000,Telangana
b190295cs,Russell,8.180000,88.000000,Kerala
b190299cs,Asa,9.090000,88.000000,Tamilnadu
b190301cs,Enoch,8.040000,99.000000,Tamilnadu
b190305cs,Scott,9.660000,89.000000,Tamilnadu
b190312cs,Millard,8.460000,99.000000,Kerala
b190325cs,Edd,9.590000,99.000000,Tamilnadu
b190327cs,Grant,8.520000,90.000000,Telangana
b190352cs,Christian,9.430000,91.000000,Telangana
b190356cs,Neal,8.190000,94.000000,Mizoram
b190357cs,Burt,9.120000,88.000000,Gujarat
b190362cs,Joel,9.640000,91.000000,Tamilnadu
b190376cs,Bud,8.690000,89.000000,Kerala
b190377cs,Jeremiah,9.330000,87.000000,Kerala
b190387cs,Morgan,9.340000,91.000000,Gujarat
b190394cs,General,8.600000,97.000000,Gujarat
b190396cs,Kenneth,8.310000,89.000000,Mizoram
b190404cs,Berry,9.550000,99.000000,Tamilnadu
b190407cs,Forest,9.920000,97.000000,Telangana
b190409cs,Pink,9.850000,92.000000,Tamilnadu
b190414cs,Ole,9.690000,91.000000,Gujarat
b190417cs,Walker,9.790000,97.000000,Gujarat
b190419cs,Adelbert,8.390000,86.000000,Mizoram
b190423cs,Major,9.860000,95.000000,Kerala
b190426cs,Caleb,8.170000,86.000000,Gujarat
b190440cs,Dick,9.610000,94.000000,Mizoram
b190442cs,Elza,8.910000,94.000000,Mizoram
b190446cs,Laurence,9.040000,88.000000,Mizoram
b190450cs,Glen,8.480000,89.000000,Tamilnadu
b190451cs,Hugo,9.150000,97.000000,Telangana
b190452cs,Jimmie,9.080000,97.000000,Mizoram
b190454cs,Washington,8.130000,96.000000,Kerala
b190456cs,Gust,8.730000,99.000000,Mizoram
b190457cs,Harmon,8.360000,87.000000,Tamilnadu
b190458cs,Jordan,9.420000,87.000000,Kerala
b190459cs,Simeon,8.450000,99.000000,Kerala
b190464cs,Frederic,8.960000,97.000000,Telangana
b190466cs,Junius,8.450000,95.000000,Tamilnadu
b190471cs,Orval,8.350000,94.000000,Gujarat
b190472cs,Abram,8.280000,86.000000,Mizoram
b190473cs,Aubrey,9.420000,86.000000,Mizoram
b190476cs,Karl,8.690000,92.000000,Gujarat
b190480cs,Allan,8.530000,96.000000,Kerala
b190485cs,Jason,9.260000,94.000000,Kerala
b190486cs,Johnny,9.800000,94.000000,Tamilnadu
b190491cs,Addison,8.880000,87.000000,Mizoram
b190492cs,Cal,8.320000,99.000000,Mizoram
b190497cs,Randolph,8.170000,98.000000,Kerala
b190498cs,Stewart,9.960000,88.000000,Tamilnadu
b190502cs,Adrian,9.790000,98.000000,Kerala
b190509cs,Grover,8.510000,88.000000,Telangana
b190511cs,Isom,9.760000,91.000000,Telangana
b190512cs,Jesus,8.780000,92.000000,Tamilnadu
b190516cs,Malcolm,8.670000,97.000000,Kerala
b190522cs,Tomas,8.040000,91.000000,Kerala
b190523cs,Wilford,9.410000,88.000000,Telangana
b190528cs,Cary,9.410000,100.000000,Mizoram
b190541cs,Axel,9.160000,93.000000,Telangana
b190547cs,Foster,9.950000,90.000000,Kerala
b190548cs,Frances,8.090000,90.000000,Gujarat
b190551cs,Issac,8.070000,92.000000,Kerala
b190555cs,Morton,8.580000,92.000000,Telangana
b190557cs,Pierce,8.170000,100.000000,Tamilnadu
b190561cs,Sim,9.830000,97.000000,Tamilnadu
b190565cs,Casper,8.910000,87.000000,Kerala
b190574cs,Lige,9.550000,87.000000,Tamilnadu
b190579cs,Tommie,9.040000,88.000000,Kerala
b190583cs,Alton,8.740000,86.000000,Mizoram
b190588cs,Dorsey,9.390000,87.000000,Gujarat
b190589cs,Enos,9.260000,100.000000,Telangana
b190590cs,Howell,8.120000,87.000000,Telangana
b190596cs,Oran,9.750000,99.000000,Mizoram
b190598cs,Raleigh,8.520000,97.000000,Telangana
