rollNo,name,cgpa,quizMarks,location
b190124cs,Daniel,8.640000,95.000000,Gujarat
b190134cs,Alfred,9.080000,89.000000,Gujarat
b190164cs,Lawrence,8.980000,98.000000,Gujarat
b190180cs,Philip,8.390000,95.000000,Gujarat
b190186cs,Raymond,9.320000,96.000000,Gujarat
b190250cs,Claud,8.070000,86.000000,Gujarat
b190254cs,Hiram,8.980000,87.000000,Gujarat
b190272cs,Manuel,9.510000,96.000000,Gujarat
b190274cs,Augustus,9.220000,99.000000,Gujarat
b190275cs,Emmett,8.710000,91.000000,Gujarat
b190357cs,Burt,9.120000,88.000000,Gujarat
b190387cs,Morgan,9.340000,91.000000,Gujarat
b190394cs,General,8.600000,97.000000,Gujarat
b190414cs,Ole,9.690000,91.000000,Gujarat
b190417cs,Walker,9.790000,97.000000,Gujarat
b190426cs,Caleb,8.170000,86.000000,Gujarat
b190471cs,Orval,8.350000,94.000000,Gujarat
b190476cs,Karl,8.690000,92.000000,Gujarat
b190548cs,Frances,8.090000,90.000000,Gujarat
b190588cs,Dorsey,9.390000,87.000000,Gujarat
