rollNo,name,cgpa,quizMarks,location
b190125cs,Ernest,8.310000,91.000000,Kerala
b190159cs,Paul,8.810000,90.000000,Kerala
b190201cs,Dave,8.750000,91.000000,Kerala
b190209cs,Alonzo,8.790000,98.000000,Kerala
b190219cs,Everett,9.140000,90.000000,Kerala
b190230cs,Aaron,8.300000,99.000000,Kerala
b190231cs,Alvin,8.580000,98.000000,Kerala
b190245cs,Maurice,9.510000,97.000000,Kerala
b190273cs,Phillip,9.940000,99.000000,Kerala
b190295cs,Russell,8.180000,88.000000,Kerala
b190312cs,Millard,8.460000,99.000000,Kerala
b190376cs,Bud,8.690000,89.000000,Kerala
b190377cs,Jeremiah,9.330000,87.000000,Kerala
b190423cs,Major,9.860000,95.000000,Kerala
b190454cs,Washington,8.130000,96.000000,Kerala
b190458cs,Jordan,9.420000,87.000000,Kerala
b190459cs,Simeon,8.450000,99.000000,Kerala
b190480cs,Allan,8.530000,96.000000,Kerala
b190485cs,Jason,9.260000,94.000000,Kerala
b190497cs,Randolph,8.170000,98.000000,Kerala
b190502cs,Adrian,9.790000,98.000000,Kerala
b190516cs,Malcolm,8.670000,97.000000,Kerala
b190522cs,Tomas,8.040000,91.000000,Kerala
b190547cs,Foster,9.950000,90.000000,Kerala
b190551cs,Issac,8.070000,92.000000,Kerala
b190565cs,Casper,8.910000,87.000000,Kerala
b190579cs,Tommie,9.040000,88.000000,Kerala
