rollNo,name,cgpa,quizMarks,location
b190118cs,Louis,9.010000,92.000000,Telangana
b190127cs,Jesse,9.690000,87.000000,Telangana
b190218cs,Moses,9.140000,89.000000,Telangana
b190225cs,Fredrick,8.920000,88.000000,Telangana
b190285cs,Curtis,8.920000,94.000000,Telangana
b190327cs,Grant,8.520000,90.000000,Telangana
b190352cs,Christian,9.430000,91.000000,Telangana
b190407cs,Forest,9.920000,97.000000,Telangana
b190451cs,Hugo,9.150000,97.000000,Telangana
b190464cs,Frederic,8.960000,97.000000,Telangana
b190509cs,Grover,8.510000,88.000000,Telangana
b190511cs,Isom,9.760000,91.000000,Telangana
b190523cs,Wilford,9.410000,88.000000,Telangana
b190541cs,Axel,9.160000,93.000000,Telangana
b190555cs,Morton,8.580000,92.000000,Telangana
b190589cs,Enos,9.260000,100.000000,Telangana
b190590cs,Howell,8.120000,87.000000,Telangana
b190598cs,Raleigh,8.520000,97.000000,Telangana
